record,window,rhythm,beat,rr
04015,0,Normal,0,0.856
04015,0,Normal,1,0.84
04015,0,Normal,2,0.836
04015,0,Normal,3,0.82
04015,0,Normal,4,0.828
04015,0,Normal,5,0.824
04015,0,Normal,6,0.78
04015,0,Normal,7,0.844
04015,0,Normal,8,0.824
04015,0,Normal,9,0.808
04015,0,Normal,10,0.78
04015,0,Normal,11,0.812
04015,0,Normal,12,0.836
04015,0,Normal,13,0.812
04015,0,Normal,14,0.812
04015,0,Normal,15,0.804
04015,0,Normal,16,0.772
04015,0,Normal,17,0.84
04015,0,Normal,18,0.808
04015,0,Normal,19,0.816
04015,0,Normal,20,0.772
04015,0,Normal,21,0.836
04015,0,Normal,22,0.812
04015,0,Normal,23,0.812
04015,0,Normal,24,0.768
04015,0,Normal,25,0.844
04015,0,Normal,26,0.772
04015,0,Normal,27,0.84
04015,0,Normal,28,0.812
04015,0,Normal,29,0.8
04015,1,Normal,0,0.548
04015,1,Normal,1,0.672
04015,1,Normal,2,0.948
04015,1,Normal,3,0.536
04015,1,Normal,4,0.572
04015,1,Normal,5,0.596
04015,1,Normal,6,0.476
04015,1,Normal,7,1.148
04015,1,Normal,8,0.612
04015,1,Normal,9,0.5
04015,1,Normal,10,0.564
04015,1,Normal,11,0.416
04015,1,Normal,12,0.392
04015,1,Normal,13,0.544
04015,1,Normal,14,0.816
04015,1,Normal,15,0.896
04015,1,Normal,16,0.572
04015,1,Normal,17,0.568
04015,1,Normal,18,0.46
04015,1,Normal,19,0.352
04015,1,Normal,20,0.5
04015,1,Normal,21,0.608
04015,1,Normal,22,0.492
04015,1,Normal,23,0.484
04015,1,Normal,24,1.18
04015,1,Normal,25,0.928
04015,1,Normal,26,0.532
04015,1,Normal,27,0.616
04015,1,Normal,28,0.944
04015,1,Normal,29,0.544
04015,2,Normal,0,0.576
04015,2,Normal,1,0.528
04015,2,Normal,2,0.932
04015,2,Normal,3,0.58
04015,2,Normal,4,0.72
04015,2,Normal,5,0.936
04015,2,Normal,6,0.58
04015,2,Normal,7,0.592
04015,2,Normal,8,0.924
04015,2,Normal,9,0.912
04015,2,Normal,10,0.808
04015,2,Normal,11,0.836
04015,2,Normal,12,0.832
04015,2,Normal,13,0.864
04015,2,Normal,14,0.8
04015,2,Normal,15,0.832
04015,2,Normal,16,0.816
04015,2,Normal,17,0.816
04015,2,Normal,18,0.828
04015,2,Normal,19,0.824
04015,2,Normal,20,0.828
04015,2,Normal,21,0.816
