record,segment,rhythm,time,ecg
04015,04015_Normal,Normal,0.0,-0.115
04015,04015_Normal,Normal,0.004,-0.09
04015,04015_Normal,Normal,0.008,-0.1
04015,04015_Normal,Normal,0.012,-0.13
04015,04015_Normal,Normal,0.016,-0.16
04015,04015_Normal,Normal,0.02,-0.215
04015,04015_Normal,Normal,0.024,-0.23
04015,04015_Normal,Normal,0.028,-0.285
04015,04015_Normal,Normal,0.032,-0.28
04015,04015_Normal,Normal,0.036,-0.32
04015,04015_Normal,Normal,0.04,-0.31
04015,04015_Normal,Normal,0.044,-0.31
04015,04015_Normal,Normal,0.048,-0.32
04015,04015_Normal,Normal,0.052,-0.34
04015,04015_Normal,Normal,0.056,-0.335
04015,04015_Normal,Normal,0.06,-0.34
04015,04015_Normal,Normal,0.064,-0.36
04015,04015_Normal,Normal,0.068,-0.31
04015,04015_Normal,Normal,0.072,-0.26
04015,04015_Normal,Normal,0.076,-0.18
04015,04015_Normal,Normal,0.08,0.03
04015,04015_Normal,Normal,0.084,0.35
04015,04015_Normal,Normal,0.088,0.695
04015,04015_Normal,Normal,0.092,0.86
04015,04015_Normal,Normal,0.096,1.03
04015,04015_Normal,Normal,0.1,0.995
04015,04015_Normal,Normal,0.104,0.42
04015,04015_Normal,Normal,0.108,-0.58
04015,04015_Normal,Normal,0.112,-1.345
04015,04015_Normal,Normal,0.116,-1.695
04015,04015_Normal,Normal,0.12,-1.77
04015,04015_Normal,Normal,0.124,-1.65
04015,04015_Normal,Normal,0.128,-1.375
04015,04015_Normal,Normal,0.132,-1.0
04015,04015_Normal,Normal,0.136,-0.74
04015,04015_Normal,Normal,0.14,-0.595
04015,04015_Normal,Normal,0.144,-0.495
04015,04015_Normal,Normal,0.148,-0.445
04015,04015_Normal,Normal,0.152,-0.44
04015,04015_Normal,Normal,0.156,-0.435
04015,04015_Normal,Normal,0.16,-0.44
04015,04015_Normal,Normal,0.164,-0.43
04015,04015_Normal,Normal,0.168,-0.425
04015,04015_Normal,Normal,0.172,-0.41
04015,04015_Normal,Normal,0.176,-0.39
04015,04015_Normal,Normal,0.18,-0.415
04015,04015_Normal,Normal,0.184,-0.425
04015,04015_Normal,Normal,0.188,-0.405
04015,04015_Normal,Normal,0.192,-0.445
04015,04015_Normal,Normal,0.196,-0.445
04015,04015_Normal,Normal,0.2,-0.455
04015,04015_Normal,Normal,0.204,-0.46
04015,04015_Normal,Normal,0.208,-0.465
04015,04015_Normal,Normal,0.212,-0.475
04015,04015_Normal,Normal,0.216,-0.455
04015,04015_Normal,Normal,0.22,-0.43
04015,04015_Normal,Normal,0.224,-0.45
04015,04015_Normal,Normal,0.228,-0.47
04015,04015_Normal,Normal,0.232,-0.45
04015,04015_Normal,Normal,0.236,-0.46
04015,04015_Normal,Normal,0.24,-0.5
04015,04015_Normal,Normal,0.244,-0.5
04015,04015_Normal,Normal,0.248,-0.51
04015,04015_Normal,Normal,0.252,-0.505
04015,04015_Normal,Normal,0.256,-0.52
04015,04015_Normal,Normal,0.26,-0.5
04015,04015_Normal,Normal,0.264,-0.52
04015,04015_Normal,Normal,0.268,-0.525
04015,04015_Normal,Normal,0.272,-0.53
04015,04015_Normal,Normal,0.276,-0.56
04015,04015_Normal,Normal,0.28,-0.61
04015,04015_Normal,Normal,0.284,-0.61
04015,04015_Normal,Normal,0.288,-0.645
04015,04015_Normal,Normal,0.292,-0.655
04015,04015_Normal,Normal,0.296,-0.66
04015,04015_Normal,Normal,0.3,-0.665
04015,04015_Normal,Normal,0.304,-0.685
04015,04015_Normal,Normal,0.308,-0.695
04015,04015_Normal,Normal,0.312,-0.7
04015,04015_Normal,Normal,0.316,-0.72
04015,04015_Normal,Normal,0.32,-0.78
04015,04015_Normal,Normal,0.324,-0.8
04015,04015_Normal,Normal,0.328,-0.8
04015,04015_Normal,Normal,0.332,-0.81
04015,04015_Normal,Normal,0.336,-0.83
04015,04015_Normal,Normal,0.34,-0.84
04015,04015_Normal,Normal,0.344,-0.845
04015,04015_Normal,Normal,0.348,-0.865
04015,04015_Normal,Normal,0.352,-0.87
04015,04015_Normal,Normal,0.356,-0.87
04015,04015_Normal,Normal,0.36,-0.875
04015,04015_Normal,Normal,0.364,-0.885
04015,04015_Normal,Normal,0.368,-0.91
04015,04015_Normal,Normal,0.372,-0.9
04015,04015_Normal,Normal,0.376,-0.9
04015,04015_Normal,Normal,0.38,-0.895
04015,04015_Normal,Normal,0.384,-0.84
04015,04015_Normal,Normal,0.388,-0.79
04015,04015_Normal,Normal,0.392,-0.73
04015,04015_Normal,Normal,0.396,-0.675
04015,04015_Normal,Normal,0.4,-0.64
04015,04015_Normal,Normal,0.404,-0.59
04015,04015_Normal,Normal,0.408,-0.56
04015,04015_Normal,Normal,0.412,-0.48
04015,04015_Normal,Normal,0.416,-0.43
04015,04015_Normal,Normal,0.42,-0.4
04015,04015_Normal,Normal,0.424,-0.355
04015,04015_Normal,Normal,0.428,-0.31
04015,04015_Normal,Normal,0.432,-0.29
04015,04015_Normal,Normal,0.436,-0.245
04015,04015_Normal,Normal,0.44,-0.22
04015,04015_Normal,Normal,0.444,-0.21
04015,04015_Normal,Normal,0.448,-0.225
04015,04015_Normal,Normal,0.452,-0.22
04015,04015_Normal,Normal,0.456,-0.205
04015,04015_Normal,Normal,0.46,-0.23
04015,04015_Normal,Normal,0.464,-0.25
04015,04015_Normal,Normal,0.468,-0.24
04015,04015_Normal,Normal,0.472,-0.235
04015,04015_Normal,Normal,0.476,-0.24
04015,04015_Normal,Normal,0.48,-0.24
04015,04015_Normal,Normal,0.484,-0.22
04015,04015_Normal,Normal,0.488,-0.22
04015,04015_Normal,Normal,0.492,-0.215
04015,04015_Normal,Normal,0.496,-0.225
04015,04015_Normal,Normal,0.5,-0.26
04015,04015_Normal,Normal,0.504,-0.26
04015,04015_Normal,Normal,0.508,-0.27
04015,04015_Normal,Normal,0.512,-0.295
04015,04015_Normal,Normal,0.516,-0.28
04015,04015_Normal,Normal,0.52,-0.285
04015,04015_Normal,Normal,0.524,-0.275
04015,04015_Normal,Normal,0.528,-0.27
04015,04015_Normal,Normal,0.532,-0.255
04015,04015_Normal,Normal,0.536,-0.265
04015,04015_Normal,Normal,0.54,-0.275
04015,04015_Normal,Normal,0.544,-0.3
04015,04015_Normal,Normal,0.548,-0.315
04015,04015_Normal,Normal,0.552,-0.315
04015,04015_Normal,Normal,0.556,-0.3
04015,04015_Normal,Normal,0.56,-0.305
04015,04015_Normal,Normal,0.564,-0.295
04015,04015_Normal,Normal,0.568,-0.29
04015,04015_Normal,Normal,0.572,-0.305
04015,04015_Normal,Normal,0.576,-0.28
04015,04015_Normal,Normal,0.58,-0.305
04015,04015_Normal,Normal,0.584,-0.315
04015,04015_Normal,Normal,0.588,-0.305
04015,04015_Normal,Normal,0.592,-0.305
04015,04015_Normal,Normal,0.596,-0.295
04015,04015_Normal,Normal,0.6,-0.295
04015,04015_Normal,Normal,0.604,-0.295
04015,04015_Normal,Normal,0.608,-0.29
04015,04015_Normal,Normal,0.612,-0.27
04015,04015_Normal,Normal,0.616,-0.25
04015,04015_Normal,Normal,0.62,-0.27
04015,04015_Normal,Normal,0.624,-0.255
04015,04015_Normal,Normal,0.628,-0.25
04015,04015_Normal,Normal,0.632,-0.3
04015,04015_Normal,Normal,0.636,-0.23
04015,04015_Normal,Normal,0.64,0.005
04015,04015_Normal,Normal,0.644,0.4
04015,04015_Normal,Normal,0.648,0.74
04015,04015_Normal,Normal,0.652,1.035
04015,04015_Normal,Normal,0.656,0.91
04015,04015_Normal,Normal,0.66,0.115
04015,04015_Normal,Normal,0.664,-0.875
04015,04015_Normal,Normal,0.668,-1.46
04015,04015_Normal,Normal,0.672,-1.715
04015,04015_Normal,Normal,0.676,-1.725
04015,04015_Normal,Normal,0.68,-1.59
04015,04015_Normal,Normal,0.684,-1.365
04015,04015_Normal,Normal,0.688,-1.005
04015,04015_Normal,Normal,0.692,-0.64
04015,04015_Normal,Normal,0.696,-0.35
04015,04015_Normal,Normal,0.7,-0.165
04015,04015_Normal,Normal,0.704,-0.13
04015,04015_Normal,Normal,0.708,-0.115
04015,04015_Normal,Normal,0.712,-0.145
04015,04015_Normal,Normal,0.716,-0.145
04015,04015_Normal,Normal,0.72,-0.165
04015,04015_Normal,Normal,0.724,-0.19
04015,04015_Normal,Normal,0.728,-0.195
04015,04015_Normal,Normal,0.732,-0.2
04015,04015_Normal,Normal,0.736,-0.2
04015,04015_Normal,Normal,0.74,-0.175
04015,04015_Normal,Normal,0.744,-0.19
04015,04015_Normal,Normal,0.748,-0.21
04015,04015_Normal,Normal,0.752,-0.23
04015,04015_Normal,Normal,0.756,-0.23
04015,04015_Normal,Normal,0.76,-0.27
04015,04015_Normal,Normal,0.764,-0.29
04015,04015_Normal,Normal,0.768,-0.33
04015,04015_Normal,Normal,0.772,-0.325
04015,04015_Normal,Normal,0.776,-0.33
04015,04015_Normal,Normal,0.78,-0.355
04015,04015_Normal,Normal,0.784,-0.36
